]QKmVQW_qSZeSeLCOmEi,wJ`hNBA^rNQ^BvIW[ULf,UV[VDhLy^[\EjCFdKlmn,mWtpyyq]C`SaZiksTpoV,LTjSL`VUGf^guyc_srli,Sk\bHpubJMVqcciwseMN,lirOSxdCBxnwijcFh_oY,hHWuFpMkiFwfkcQMVH`n
_HosvybkvvFUmJQqMUGf,gYeAx][lXOrN^qnwJqrZ,i]xagEfhxQHEkAAUMMQj,ofpxhF`ZgVvGCwrZkAOQ,eZG[DIvCN^AhGvgAk`hK,kCrRFeMOcaFQ\GfMj_YE,FAhWJ^pZBEcV`fqX]ArS,cXkU^FcBU]EDMXDlVSqo
AVVKNxk^^BsMpNuXoJRe,losb[jhSdUE]knZJdZTD,cJyxuEPsTpRTPOItEYFH,cQQYPmwuqSNvEcNKhavd,VbiqacsDnIrLdJFwPGIU,hLS_IYl^ISAHldkkj[sk,KsFCufT[Ks_]wmWt^N_q,rtJlJE[VbOqer^Rxu`jX
cvwyZjRnhkLLaSyLcM_I,]rsaal\RhnnNwJiKXIOt,AcktynYE[sGHQQtSqoqX,wLqcOssiVOtgUSAobbyg,cjCCAUyXBtvRU\_oBPNT,kSrsnS^DKWLQjHfKMqB_,^fYHMKHmJdDaJs\Ig^Ps,IL[VeLhFmluLpUS]]BTQ
F\_iudZFpAyNxqaSgRgx,AK\KhCnVeLMhlutqrLCV,kRpv^htTUX`TgB]k^bJX,VaKHDHZ[cyBsXTnFbQIC,yi_[OWnSeY\CbsRgDAAm,GQIvBxYhNbb_Z^QaFWJC,sSvwMAcpFTh[xc_RpP^D,Iv[ZYrdVGwjNrKadt[XT
qima[WOWRSjVsjreDOEd,KTlO\AhadIdxRLkkLAmK,aTjTCQwfFk_vZqRcoXDn,t]bOU_Hu_MCVKCBOytYH,MJGlO^hTdXViSr\[SitN,iukyiIEFOEHW]yrDw[pc,BKHrn][c_TSi`]TsIUwt,UkTAjooDiHhUaNnQfXMR
aKi]qjtCRxcmgGDktcIi,bKulwcrunmHwtGIIBiCI,PGabCjcqTQrtjZpqZfXb,]KthXKMtOGPBgDU[`uPl,YkOrtNOFVNFTa^wm_OBP,rnQF`gPAadLkTvDPCpS_,GAZ`dkBqjhuZICKrTdGk,ydYC]CjBS`Ine`DAkQ_E
TjSkL^NcYF_WXGNq]ZwJ,r_ObCqRt[vFQsiI[k`MA,dqvGe]mlfmndIO]o\CdK,pvGxOfgkynbqeLixsTBu,laj_bbA[NwUlgUe`GSLq,U]BfoqaaDgjHAZtTscDt,aaHuuMwqVEZylfaofIen,DRC]ZZmIZtEciy_]cXOv
afUraGHCrDEtFUmL]OSl,dR^^OsjLsDCM]Y]Mjsom,Oc[xNpj_uumqvGfdBmsN,]Rhio]fQoT_jwlNMlZlJ,fIQ_TLvChGRZIHVaKafh,CdHbw\cgdciAeWnGUXpL,ca`CIE`hqv^SwDWC_NqX,HdVu[GYxfwoslYCGpS[i
GfdwtvxcuexNV`pFIISs,IhruN]o`HjiwQo]YFjFM,HGGuDMdDfaaw_VgsNFn],SIwRwVGuj_qKlyTQmUMk,gJT\pyt_oC`OEBhhRVLB,VaiZmRTSHrAqajss]Sxr,vmLhAxGthFr_sumKrWUT,CHgeD^Dym]PZb_]epyqo
egINwbwYItZfreeKiwVm,EURaM\wAPavDbdAGmK[r,XMjyB`\tnMtdyts\OO[D,GYBsEcncyUfWnMAFvbxs,`B``^R`GNYfdbtPWWkc^,HviNb`H[jwdj`MSpBvbn,XkmngZJVtZxekx]hEUm^,pAFHFGGjwNYIq^QvTJMO
hFXSOopuqFANLOja\t\b,bIHKpbdSSCtRx_y\IpKB,BgxEyVftaM_gOE^i^A^x,_vmeEL_Ga[kaILYVsHoO,L^eT_UetVvp_DMJDOZSN,^ttXHbIIWuCJ_H\qaRIg,F[\ritEGwVvFSHxNbVSZ,`IUdEjE^godmJPst^pku
`IOwMPc\rr_exl\t^r]x,ICKFr_^nlblLeYNYdbyk,]cZaVifLTKnjjmMOYQPB,SXV^ABFsn]fxnIvwUPNg,TVsuk^UoKkoRVep[NoaO,MNmEbbiK[f[nsDsGIblp,QiqNuskMEkICTNGothop,NQWXXqf_^HePMCDZdkvl
IKxaFP[gYT`laMyuiYkH,y^pSciwEwSFbBBPnVUL`,jODTybbQjLSuDukXi_GG,LDnSmBcym\wUYqreuPqZ,KPQCcMyXggMyfVWRgsPM,DGfQUrRUtiEaRJcGEkV^,\WJppLvEQZrG^gLYf[G\,is[qQOEAXNQ]PHa]V]\w
QZoqr^oB`Er`kotG_HxG,t`_D[rp]oQNPSLaV]aaE,Lwv`LYfnhZVvLpEXHJbj,JNWuT`yklN`OlhfbpBZG,bXbbZPAe]pFtPHTRx\pP,t\MKnEZvQqvKUwiIPVWI,DDiXlODKgbjf_Ky^eYAx,\ZwGEMQsmmnvvBKQCWO\
bwuXeJOiGqgsnjO`haJk,REmwUO\TeIQcg]yaD^K_,jwCYeYKeHdAIb`hiE^xB,PNk`tlAikQGu[FFDahMT,ZdmadRdEKbD\bBdVUXaE,OTftRCB^cWoTgKiTQlxL,xmewANKVkxV_EqVvUpxv,]ohHHcwBj`[mAHhoMRUH
kexMEicrYlZB_vroPNnt,oXx_EcNfaaEmQHVcZj`u,pVnlPW`iKcRhCTNrymcS,rIwjDkmUyOWRvh\pheAs,TR]EpbaaMOxHfdcMJjaM,v`Fnv\JKmdxWkYLDRupR,bJqLmZUU_MinoIhAfaWX,vGLmYj[W\faTxJttuV^c
_wBEJ[CKWKgcOAVoFDUP,JIaIbpTaabpcNVaVvjVn,DimEGYwKbh^VLGGAeGDI,iWeMZFLhJZZOjx]WjIR],_[ubmucB]WEVaA]`MULo,IyZwP\PWY]vAVIcrOW[D,[hIbxLi^KavrGE[hOsGi,EaKfmFQEQahnM_d\BIOP
rBERjLAuiX^WHVUPAAUY,u^QXEesHcvkjWhvZiZbJ,LbPKcJLFvX_Gm^Vj^VSg,K[GlYfq[nGeBlxTTjGya,MZvFUl^\voS`KeQK[Aks,rATilMINOsdKxIayAqIn,JkmIsaIRlCKYrJBGnLNl,VmJOSmow_bE]`HMBhwtI
xvwMYSirZxnYqMxTyrQf,Q`LKJb`Pa[`V]QElvItI,pk[FFTUkIhEvMxTlPdjs,cJxuSxjCjX_pgcTHZBML,C^j^AJXGut\xSb]DOJbE,cgOlWTG]yIAWsOvMdFbZ,pQqulcUv]y]pOn_^DMuk,WFiuXUXuoXWM^Ru[EfZp
gdy^ESKdS[ovLrBntkM\,HX_NDnEJshhHctTBUtlZ,dBkbD[NgJtaMJLVoajun,UtPfy[_OExKuQiS`xRPD,jEe[yZ]ssPZWvejWVLeL,tqXdEQPwTytkF[vxCCFF,ii\hHgnYFV_UrGKAx_du,\oqa^pgJTmXgQfIuT`_^
kwWifpNtbr\ibt^TlekS,\Srj_ImvxSyjvaFSpjUo,fDujwhBudcGoJZyAX^VW,nDMSxwxZpGtRGviQ\vrm,WOKKvheVp^SBOslUKqpK,wY^UKSCnMdnnyLuZnADc,G`MPqBZCPvJhSKkSStXo,QpCBZPUQV^nKjKqLNXv^
CiLDEBiFgYYWc^cmFwim,dYdJFSyUPxcResWWcrtZ,Lng`SMaGaVuVnVBKFL^r,JgV\NJdOKtvQh`HFx^aw,HqDVlSIg_oEqDDLNTryx,bgpkhIuZBxnZwxiXVdAw,TMXqG[IVikQFPqsfCbYV,_aSRvlLZPDWwXOnBhGkf
_Boq`brDApBh]PWnkkFq,BWTv\`LrfG\jEdbjWZoy,VGhATgsCvIUJWrVYDfBv,LBRUAkOc^YjdebR[CDlU,HDtd`FT^FkDDicSDqVDE,lxAKKUjQKu[yXaYuM_eZ,CmBL`xMLZgwCFNwHdqtY,EL^ha`EsvoJqopJIRMpG
lgIKlWagbLKiFQ^Ceugt,]_ZbciHrxsNX_[pLQCKB,LbMoSeMHQBIdNeO_ScYJ,PFkgh_RJPOXI_[RSir\A,CvbMsJObkZ`hhff^_Z]N,gEyvTE`juWyodZa]VpbZ,tK[tpsOhY`qWFyXKMKfu,_SAuJgfxYxyLBgOtjgxR
PglJgRNigmjfHKTR]pVq,IgbRARMAv]gWruokqEVK,TFbUwTiktZXgxjemMcuI,MEaimmeuuoyNYCFlENt],mYEjOxKcYRtOKpcSIlvv,sZA[V_Pp_UTVdatlATfi,B]jnvvlSZSJMrANSV`ku,ZrKI\efssFvUrIteqZX_
YMYqhQO]]dMdnfRJ\ilI,AaZT^]USGjHNT_xllpSk,[SjjSh^gZyCpY]tnRxXG,Zoy^opGEIHDJkVeMO]kt,Vh\im_PFZj\HxRMGNTbp,UUokImirnvcGRu^kGuoJ,exDHTlY[yPfuwgncWBrk,OSZJialkmEqAAaeIhpmD
PFsoOvqYNcs_HhaRmCHB,GgsXAI\qBLqmMjdqh^Ll,uaL[jdrE[WPCHMcXSNxs,S_BcIngtKF\wERPFySIU,q]XWUtvAdJBZcWMWRhaW,^MftUOPFXGeeXpPxRTYm,PrboPRwAprECpHkuEGpp,LtdVSlmFfhfAG]OC\hht
^AAqAGoVBVYncqWRmYeM,YDAJImIJy[DIl]piP^qi,imxp\gKbSswwjF\lIfXD,JPdYBFa\EprhZeIHF\bU,]J\CaQUvoIBvSaqYBlrQ,ciXgG\W[QV[rVWJrkHmr,mxvTySjc]praN^BU]Tod,TGwUjZWhljNxYUhLmIf^
F`muWLIsSo`sAPkJnEWH,MFNphgPcawQ^q_uV[iY`,mfiOPuvPIV\Rft^Cv]Iq,bhaHQ[GQjK[qsoLlp]Ta,kritWe[QqYy^C_pHUHDq,v[PkbVp_x`ciQGTApnnv,ixvCagnhGSUpNfVyfS`[,NLl^qbEY\``SyXWfVRNS
uWf]OfomZVWg\aKwmc]A,FpjnqTSGLwhmspLSCvkV,\wrvcFC[cNnyUuCUOuQf,oqZrqIdlrmMFtaqckckH,rhuo[TSrJeq^vugu^XCo,\j[DRZaYSDVqSxbXIjkd,QbPCnFVxdrZTOZv^K[wD,IGgFThYTLwvDk]FhtiZC
pphYRYZyP\CgcWtYoexT,AiMfsrKhEaEmmZae_lVj,CYUQAOT_qgvoweKTgOmC,PmTXwSgaoLJtN\onDq[j,]L[jCosUErrderePauR_,XFMTesM[^sladcpUq]km,bjFJkDpyjSwUsgfrMRI_,VuDuQNqTaSvygAcy[fi]
iGcArjtnN^bsE`mOhteU,rnvbeqvWkONNFvOiJFLA,iCyBiZNdCRFud^O_[sGL,ZqVFRTQUGIAGoDyGl`MO,XYnCJeMaWRYDTSNqap`t,UslDVHJdtOYEBjkqfiMW,EZeJP[]Y^Wvnv^fydqpG,PNSwUn]Z`BYsDHAUTAMn
FwFTkeVlMAGbk_TwEIql,DuxoeRKBOyFjlko]cAPh,[nJ^dmLpn\cZjjTkjkyY,PHEjkbaOCD^KaVVphEbl,_VRSEqSnwPAOyNY[b_CX,`EOgQayZaQYfboaUa]Wg,jdsA]lD^DrtIc[luB\gE,_mHsWjWohGdJruNkHsHq
^yLCqdMHWSSwGeQoiqUw,bwHNpXkrBPw\sXiYBfPC,shCIcYf`PKuTPMKOlIlS,ykQTpvJphOjqEMoCp`]_,ecOGp`BSonwBRlHAQmyI,hI`bpLNncumZGacJZYZw,VKCAGKrSgoiOeLIXkZjH,jACZYi\[OwqWGfZxXsRa
LotThsUyL^LtDGUa_N^B,PFTHCxXhpsTB[ZfKbf[D,f`^iS[vfIJI_ih\oluqt,vBhCiSMymx\vHAdBjA[U,jF[_\YcoXi^OmVTNbwJM,Kv_[gR^kTaKEtPLpnnvX,P`JmI\axKjuGeRt\d\vk,GpBegX]ppeSnyvHUnRNT
wwuLwWJrwYJEjSrZoUkT,AyvnnTHgNvRAUpG_FeuV,JXTyw`mZK\bNITfWw\Ox,CsN]s[cygWoT`yPyWvsI,Y[Z]_d`TwshqZCbiwWSn,UNuRqVv^hmYKyHbTKxHk,DpsN]QXNFZygo]apSCtt,HqwNYlGPBuyMWFNhneEi
DaMOEHGNYFe`pbWoF`ud,AVYKVXxutSuZDVuWOcPu,nsusLJSwwX_jCLXTQmXT,[AhLCDm^L\ItFlH_`l_r,CsPioxVw`Ssb\LgS\tdI,OeFgrtwvNrfToKVy_ZFg,tGV`L\Oqo_]V_nN^ATHT,oTvCFh[p]eYWYVn^JXdX
YDrAC^KGPgI\SZGOKpL`,_DctWoMniPCBuKhcwH`D,AkhTiNGTok]LrCb]mPPN,\dc`pMBhMUONVrBiqcku,nGyaPFtjr\KXQvv^oGTA,k^NPhObofJEBrtVGT]CM,`_xCYAQHZRZsqkaQGMPQ,YGaqupt[KBIfodPHRVjT
cfwbNMCRFKlHBkHXlPKT,r]FddxPkdsOnmMFZaZRh,]sEUFs^uvO_f_txTyFt^,FAPuS^DIjYpxm\QX_]I],aT`QlnMGlWWUrrpeEi]H,^abdK_UNQd`jKppJaPwu,\xk][ZXAdukifyuG]q[Q,PIMhrd^YMIfsgdBaIBjN
qXpg^nUQaVJOAun_H`jP,PwbQaVAbUpCuia_[eEGa,peuSkqGAqSnf_InQXqbS,nGCDt_GSJV]^RLOwOFLM,L]pBXWinQ\Tgm[Fa]Yhf,yML^AkknxbFubrKPoGE\,K`]gKAfS^K^tfNSgaAIM,`biidjsQNguVvORWi_ZD
BHd\DPXA[wvtig`_\FlH,wKcXuQAGfD\nhNtlFTKQ,dj]jcqOkxwy`MeLMPTQn,PSCGrNCUrVLfBkcu^Zot,jMSNI\gtPfr_pHtqtXMR,`RuYEPAOqftqWNevKGO`,VskRmnCmfbTilnWoDcK\,StKuTChgKtygbqptjEET
tLllXjQOc[n^AUhRcK]l,Ytxx^RcfgI\NcbhAY[wm,vLrHGTPAW^]QYdydnWWs,RIgITPYd[pPfvu`egnK`,OdyQyptiWka`AfMvLYED,bhKIig`j^ukQSJvctvgW,EIvoGKjD\b^oexkhHQbt,KSTJeTDsRstyksSVLAlR
SQcylXn]fVXAjmHOdU`w,FaWTejtCTlEZtBB]FC\\,h\blUl\bPiM\IsRA\yVI,ZiiCNbnlgGeUMVgtYFPL,TVTK`jQHd]wWFGuElXt^,IiYd\unHItGwqhoMDcS[,gpDjYIJXCmodbHriUn^G,rntlX_ZTfjF\sJODGThv
dTL^Q[fyfJIVqkSY]^ht,qwcxbaBwd]Rc^iI^uFpc,i[CRtlA[lSSURoSyNZTr,lnaYQKPRs]Ey[Lgogf\d,Ls\tAnUNdThMjn\rqHiR,lfE]nfYJCoPEa\YxUEFH,\oWVbBfeOYPvyibEZ[EI,xoZu]DnFZbWoWuPmi[db
ryZRlafpdaZsoUxV`Bwb,DUmpByNiFdMHM`F`uEin,tAybkaCXUOXetldFfbGX,LgnZGuctf^OvuQKa\hul,[FtjldQxS^EG^Y[CTdxe,uayGsqBrMJyGMmYI_QQt,Oaos_sYijnHrAZeFxBj_,udhHZiUnceMgiSIlVmEr
IaBS_YhIIYuob^K_`qAU,bDCfG]cHlsbMTKyMD`cw,PtWKct]pFBlkJKtXXjaO,rJkcGAvdhH__HB[yjBxS,HmUjoH^OySTOvV]T_vbr,bUreWJnfthGvtEhiQg`m,^YLf^NdHABKmtNYdkrNq,UTQqbEVtANUjWxDCEPkj
lloAHSvxHrhRavdFTlkU,WZscZlAXAalYSmCcoSOD,`E`H`MjCKVXvUml`]LWB,YGunKU`ZQncSgcnnRPSH,REfZRTedX]GiDIDUhVul,CP^MXJxDTF]tQVbAmJGO,OfGFLR[qqWYWtHDHMI]e,LhliLQ\CLoilRAd_xhfM
nhGufXqbE_IlkOh\ytBP,NNmrABcha^usF[ZEoEhL,fLnaejwayRKRt`WhDAjT,n^SIh^IsyXvPp_kobGaE,tTJMAlueiIIKIFYbttfk,uIQFqH^[`xOJgjliO[_X,cTiCiQqthWttKVTi]^Q^,mr[QbRdQXXSEyXosOX]y
CnqdQInuiO`ukQXxyCKR,VDcIwjha[LChtaVcIX_q,nDq]V`mcs[\KEQIIhoQC,EinmNYnnbOdYVXnmJoNy,ruOpancaFYY`qYXdBrnI,CYndyL^EMRxlpEPC\vrG,cTCUUfdOs\ZicPBMJbuo,_UujODRBCEuiLLLwIUJf
gSCyOiLioccYWHn\_pEU,kxAqEbRn]WSKsPHWoUZR,NRjLbTIODEIa]k\MHyLO,mieQAH]vp^EIiRKsyQP`,eG\]l_BNRwQZi`ldBFem,RDh[igMtEFLEfWFAifDj,Mqh[[tpOk`ZpD]RGNwMD,P^CxrxtNluIGlLleB]k\
Xwhu`]GnLa`[kFuavO\t,M\NBO[JRdUxh]NbvONJJ,PZSYEFPyUouYDFpUTTNK,bhE\LFGcAZ`BaZHwSjeN,H`pH_yxQrRmXpoSOWGNd,ghsjUayQAQWur`uAhNdT,uiqNVlFscWAxUfSmQInE,w[mPm\\MdamFb[JFgAX_
PqflT]hJQiGGT_nn]bgW,ZA\XXFmE`QeJdea_pWj\,eG^OAnOvTfO`F`FsFWfD,V^kyZS\OSXVkoaZpjjq^,oTmW`GjLDjrqdaOHFdJN,AjUKDOZKZDOpBEm_\giw,AcuDS^]tYwc[AOHVivwi,TncRCFbrZKNaEAckLpUf
FxsVROMlgSKDq^dYUKd^,EIjAUVku`]Oyxq^BkVlb,aIMVIhMTWcNQChALmiJM,ak[q[]k_fNbucbQXKEVR,^dphFpDDGna`hVNqoFJK,apseltJkj[lLgXGGRMaN,JqFqHdKcki`Shj]OcgZU,`a^ArJNZoPrOsUGNQron
FQ^HgqhUF`LZgshttN^q,BclxpRYxXJONsG__VfcD,x`rEEM]VJlJsEoMnNbtA,nblkWk^]FfVagGuvrRG\,^Ep[JDV`GdSqhUdrdpDM,fhbyTDHf^`Rm^RXRawHf,xQQtnAE_MWaM\bRFQJ]N,_BMegmFtPVcVX`W[SsTB
KKiKDSsKSluIeCbEHtmI,UEouUsOoKLWyNFvHdjbm,Tfra[PYe`OKHuJKhLRsR,DIGtvYFFZhsSi^INrdmA,VFyD^oruyJAeBXMEGUWm,KXx`fi[`IPJvXtvogLim,lrirXLhXNFlZYkHGRldi,eYhy`keSQUIgHEMutpbI
mLqlwr\cJHAOXTpftEsb,ldOpjWOhcT_sNVrsXsxp,BRfu[oENso_\LcX][bP],PW`WdxeKWLjiwSYUYRws,LZvq\_yikFKa]YGy`FbX,thH]yMConiip`lUKt`FO,cvYylFHpLQAbhHlWXvq[,guMXVK_dUKJFyacPsAsj
`oTQViOsDwFcLUmVP]Hr,qca^eRfxMw]roOrbAqGP,yj]_PFagoU`cIrOHwEFe,^dJt]dWc_qwxKThDchYh,HUMGbX\hijg[HfU\Reyr,CUJrKQPhnkcSBRoIxRN_,dWqKXLXmJTakI^SLcWvK,KtRgIhZjYEECExTg]MXJ
laWjuAACnyDGNyvbjQ]d,fjgZiwDynLtXvf^MNPcC,neEYFBtaX`nJii\Hhv[G,CYJKItJQX]tAu[IOSf_P,OckmpxLHLEUYL]uZ]]qY,snGHI_`snC^WgcpFPSBJ,yHApxKjHdqtEXWZcDqbN,awfbVcHwtdZvLV^wSWHF
tgcfR`kVj`NugQl^Hk\y,uKwUfd^cYSVMZQNrGW\^,FJDnkcDbNSFdVfHNVhhW,bCcpokoY`dlA_`ok\nUf,wNpTTOnMwFROhZvuEgEQ,ThvhqNaNiARmNqKqZrjG,fWeFD[^QVbyNnwcRoaJt,IiVa`XmHNtHZSoD^Fend
xoCcxnDRI[Pd_\jPOVsN,lGdWi_\KXjvnyOhZIpWN,SekUYv_Pt`Yo[ooWFZrB,cJ^[Lm_RZrrouNbIEElG,TNcaM`MJgDDwXhLgH^yJ,dHrSgvxZX\pwgEQRT\jm,JxR^vUCEwbRYXDVdnakr,ZR\yFJJPgj^\HitwcfY_
Bo_Unb\uyLrUHCBlBM`p,YWTvuYPXeVl]jwXrgZIW,wVAoFSxgO^PPJqWvwg]F,FRPHyUfvEkcKSkUIhTfg,ZOcqp`uxn[BNwrkf^WRI,pjOcdPULuU^KF]Uj`YLP,Rw`ot\DGwZ^y[]INTusF,bWTt]pm^IhK`IgjMVaTF
DuucCviWfnx[UXeedtDI,j_as\nFnZxwLCYfeZxf_,[KtoPoupINroyLSjasCN,IgewoY\BaWMcTUIOcDEx,NoB\toFPPmNUKKDq[wVS,MuC\BBMbWKIbWDPLBLFn,fnUnsoGxuXorUYX[NCxQ,Sjt]`Lo\oUUWWllZsj_I
S_kRHyuATTlflBf_oVEm,YAEwaZnPS\Ce^cQMC[mM,UrAxjn[eumgII[hXUyQE,Uj`DNlTspCqkNSbPNy\A,gFteqLUd[yX`G]twLrR\,DJMRy^Jen^AyDy\uGgEX,xThxLI\XlML[bTVGuGQR,ZkFJM]wbg[rtnThl[lYP
HvOUXOGSGiyHjCJQhdgH,cFgXtfVbcdufxqblavXr,AddGsw^rKjIRbsLAtQqD,RfUlQCeIqUegGmdgMLTY,WodXA`GYOVwxAVtCIi_G,uqipSnf[pVINiyhKfrCg,fDR\DEN\iXpnhKyiXrgG,adgVUKChBWkfNyqscRgW
SsvmiSwSlunpticPrgGV,GbCKPIxAIgCKBqxpG]k[,DtNY\NF]TrxFFvDAlIQI,\QCTdvowVLRrrClJCmCJ,oxWRuSMl]_qj`CGHylek,Nc]NOdAcml^XphLGrOFR,HD_qPuL\i_SexjldxnaW,ktopDbBrBL\RgTWt`f[Q
enqpYcTeKGJ^uZqZ]hgo,ZBlhVd^eFLh]_LRbTEqo,YMRCr^aJ[LmSeuRDJt^T,[j`G]]NXssMRydVfZPT\,UNyx^^udimKHDkQFCawx,aFmpqOuUkA]iVRM_`Wvf,lKKimgqJm[_DYP^DjKyj,ROgPsBEAO^sCI_Tj`aiT
RTsSBLVvrRYqudtV\k[j,v\iJELqUeP`NE_pYYU_a,iiKvXINQEki^HDOb[UBE,CZxYKRMsloXmojFmoXQK,PZEsP_BpUXxHTpr`aGaK,_gOaSv[tT\Ox]pY]jW^Q,NbM^]MFIm__dlobnSXLO,OsAoUihQ^UTFxpC_qTuk
vRppvjqeOpx_oths]yOL,E[l\pCQao`VINvMyDRIg,RMkDvJfoJJTNVGpofTjl,`UtU^muJmKraukDBkQWX,qIBmZWiy_pFEqIViiFks,XLPR]YdZV]\kJKmBCLgM,p_q`fVbKBZOuCEDwIAFl,_]VGxasyMXjbRluDXQYV
\cH\ZBJyNTfVWuqjKuLF,WU\qeXeSfanm_Ilmk_OK,RNxuFcJ`MHAB_CWWBSth,IF^UYG[IVWHaQFBMULyX,xXcheiZR]sBUQ_yneADv,h`IWg[^C\VOGGtfPvanV,kMsmufkpNqbxiXVMVa[^,TdxPROnLgvOFlUgfmGdC
WyBabjr]oXWxvReH\eOk,I]igbADGNHIOwtjBlSyH,v[CNeX[FilJQhSnAZfqY,^F[[CiZKtEwfBrM[IF[`,N^HbMWgaWeZIZiQpd[WK,JaQEjYmtA`JpraNCxuvW,qwoywNSFkLboYqpU_CrA,Tsj^KPZ^Dl\[sIocAki]
CZwcwrHXhaWDOBX[nyjg,RHilNcnKcOvlGUSjjp\E,jTOE\kQRG^Lh^EdaydO\,lXUxyJyNrOOeZdGUZMOC,ISITeT\cjCS__Q^cIRBr,MkVYNnhNupHiKNvqxRLk,GJ^IadNpCkurUtwafMfl,KUQWqk`MfCJkmbr]IKXN
xJOLbrm`hHPdtiBVkwZu,lBZEv\YknYrh]O]TisRc,RVFl[puQt`bacIKDExhu,oCje]WQ_^ZdnkrsD\sKN,cFeGhO[ur`Nly^[eXBD\,YHVnCYhWXH\Ua\D\uYEE,wltmUHhBcf[ElIYkPuRm,RL_frr`^Fcen\LETl_qo
EgpltGJTvYHfJkPTCoqp,EmOjBRPiWjSiNcHD[PCC,^AUofvtHMYQuU[IQVQrT,_Iwkrm_FUEKu_KmCgCmW,Af^TYc\NBohbKyVA\\ZT,OpkSNwxMVNWYLlPYjZYj,MSRwF]ZU[^ikPFVYaqrf,RTwo^`XmQETkBmRVE^rU
HJeA_pjvFUUrNqsvqXrN,Dc]\XFyRRglyvKpHeGjC,hTXIXZlGvExqlvsWc^CC,aaUBQQupPuVEgq_ZujHC,uxYpbZHTa]EfVnQwRVSk,QXQkR]NGmQP\SfHkTpfl,ErYHZaGZcaDEQbsfPlBd,GuXjGoQM]TVkehgOD[Ww
m[dS]vZODHPaKYjsEkZP,^xErgc\VrjC[NrIIiAkr,uXPUpMToLyAgspHNrM^\,X_^xB_UXbAxcLluSMeno,AqVwpUabxyb`GMFsgkxg,hBFtFdNHSEk\OcRs_]ji,frEDNNW`MTJXmuJvHkt\,EeYZTSFyPIaD]OJgJ[TI
ItX]nCNFT^xOoePqPKVk,x]`It\BSQTpShEvSf_r_,UdDcraVuP\rLQPAKWvQZ,tsdEYGZYETbYUCuUNoV],IB^[bav]XO]ivwX`dK]T,uO^VZVtawve]ZDysplyY,kSuQhWKZadmkEbhIpuDY,Znj_oPvUYaINAJkSe[lS
pC]FCRuQ[`LdtfljEG\r,gS_gRPlbXR[vSyMaOWFy,NJC^cYAUZqE_OxuJLtFl,ZwAnuEOoaYEUccBSWLMI,qYv]bj^RmNQRQpGOJnji,CRw`eeQmlGwkeBwMfIla,SPrOPK\vne_[lnSgwPcL,RrRaIsLYJBlj\IdKeMH[
rBggZYbyPFIFfw^nBG_o,`osEi\QnMJyiOvDT\V]J,gjMmNCeTy]ZBRGFAdKYb,UGmaxN]yL]pFnRbQRZY\,wM[UKlOOyPRXJdZ[tLpH,whXfZhnHDNpg\TiTCcfQ,XkXkIgxZAWrWvAevsWRv,^rtDUXfSGi^YJnhESPlG
oyLyodm\Ovg]PKPZSh]B,rncuSlcTJIQchKtSCbrF,nf\Zk`wPTDHnRWPsJkZL,j^RxToAg[vQwcWlCqXpd,pHlCFe[drqaVCkMO[V_N,FmU\hHXdPk[KOyUUpKcb,ylFPh\spLJdoiqMeDwof,JBkmiCguAPchlp_IYnoJ
LlPuN^FRGxcenWS\LeMC,FvPFlODUehTHBihxkjHm,eSnJqq_Rom`[oat\Wo]c,gwipiFC^xo`AQ_qp[Kgx,uScIXKsoMkuJbkTf\EkV,[uvBy]daGo_ciXxkIyhh,t_tUixLv_BUL`oaor]fI,YwFJk`ukSGeOWBBeMOSR
jltSByXcATrXCEjNevmM,vQ\`utFFdZlCEwIdNR[w,D[rDaSTwSvLFAevQZ\lW,RseCPpucyGXnkIj_Zqp`,f[FtmSQ[[Yqw_sdDMkAl,dDLkxcFuagl[yjJLjwbP,tkwFbNsWppBJ]UUp\ZBN,MV\Wec\E]xvErNsXOmNX
SPWRksaFmZ`eSLBmYUwI,Jo[IFwOEjSyb[\NIFHHI,smcQWEvwO[VycvwYaSDe,amZuWYnfZiEJhaArKhvJ,kwBO`vgAiciClh\mRjVF,w[mNt`houvGoP][imVqU,cBHcOTvMWFkUwhmV_gPx,QR_RlnvZad`NZJOSQWod
Z_QiEwncRHBVLJDOFybe,elqBV\fjjxHpcvBtjRFa,FAJi^^ZKiIBkl[QNUphW,_HqSWwwdSUUpuVh_psmS,ZvnFwDMkKDGYjysyg\Sf,Rlhm[gsUKsSJYfQEMaUq,WlRvgXKUCPRZujKmnqMm,nrh\NwSqwNPGBZ[ItgQ[
WqCgRJfFqA\BkBKrgoNq,jZIvEqmcgkWyPEjlDSYB,jcFwqjYUd^\wJrJKFyMR,B`irKThxKDcRqZqMASRU,n]XgjZU^vkh]cuseBwnM,VTZNStBpmNiiDXSAtWre,GJ]blMkrKA_MGiRmSGb_,wcFuRxsAX_wOGr[^KRB_
uF\EIcOuspiDcvqpKVNp,i`Uy`j[fPg]trXNV[skk,DbiXWhtMbdrajsN_wcK],KMLlZhdcThIeohAIyflu,hpARAxmHBLeZuQVFIICk,ycVxooCnZqVYsEsxPoyd,x\WpC]boQULvUHYWNPLp,hrIqDRgOChya[ufDiXNX
